word,meaning,option1,option2,option3,Ginger,River,Sigma
COOK,煮,使集中,(深)盤子,背心,0,0,0
COOL,酷的,溫和的,裙子,蘋果,0,0,0
COPY,拷貝,龍,期間,美麗,0,0,0
CORN,玉米,壺,和平(不可數),健行,0,0,0
COUCH,長沙發,國王,訪問,句子,0,0,0
COUGH,咳嗽,搶劫,十九,糖果,0,0,0
COUNT,計算,情侶,棒極了的,學期,0,0,0
COURT,球場,猴子,在國外,關閉,0,0,0
COVER,覆蓋,吹,書店,敲擊,0,0,0
COW,牛,幽默,右邊(的),團體,0,0,0
CRAB,螃蟹,皇后,蛋,(鴨舌)帽,0,0,0
CRAZY,瘋狂,商店,可怕的,翹翹板,0,0,0
CREAM,奶油,淑女,古典的,一世紀,0,0,0
CRIME,罪行,打電話,任期,期待,0,0,0
CROSS,越過,(,刀子,繪畫,0,0,0
CROWD,人群,總統,有用的,航行,0,0,0
CRUEL,冷酷的,令人愉悅的,幫忙,把戲,0,0,0
CRY,哭泣,鴨子,發生,千,0,0,0
CUP,(小)杯子,驢子,豆腐,奶油,0,0,0
CURE,治療,緊張的,什麼人,風景(不可數),0,0,0
CURVE,曲線,藥局,門,汙染(不可數),0,0,0
CUT,切,袋鼠,書桌,獨一無二的,0,0,0
CUTE,可愛的,歌曲,淚水,睡著的,0,0,0
DAILY,日常的,美國人,粗魯,不快樂的,0,0,0
DANCE,跳舞,故事,也不(倒裝),漢堡,0,0,0
DARK,黑暗的,粉紅色(的),當地的,目標,0,0,0
DATE,約會,掉落,拉,醬油,0,0,0
DAWN,清晨,排,圖書館,嘴巴,0,0,0
DAY,天,樓上,米,顧客,-1,0,0
DEAD,死亡的,蚊子,合約,追蹤,0,0,0
DEAF,聾的,不誠實的,擔心,繪畫,0,0,0
DEAL,經營,出口,某處,粉末(不可數),0,0,0
DEAR,親愛的,動物園,梳妝檯,(海,0,0,0
DEATH,死亡,平原,顧客,會員,0,0,0
DEEP,深的,聽(到),幽默,飽的,0,0,0
DEER,鹿,成功,事實上,轉(彎),0,0,0
DESK,書桌,它的,公分,襯衫,0,0,0
DIAL,撥打,度量單位,玩,握,0,0,0
DIARY,日記,產品,平躺,忙碌的,0,0,0
DIE,死亡,通常的,胡蘿蔔,技師,0,0,0
DIET,飲食,新聞記者,門,九,0,0,0
DIG,挖掘,上升,慾望,六月,0,0,0
DIRTY,髒的,父親,安靜的,裝飾,0,0,0
DISH,(深)盤子,微波爐,假日,嘴唇,0,0,0
DIZZY,頭暈的,價值,(小)蟲,我們自己,0,0,0
DOG,狗,重複,最後的,使用,0,0,0
DOLL,洋娃娃,提供,數字,最少,0,0,0
DOOR,門,從,討論,猴子,0,0,0
DOT,點,卡式磁帶,個人的,片刻,0,0,0
DOUBT,懷疑,大聲的,這裡,蒸氣,0,0,0
DOWN,往下,責任,夥伴,使關心,0,0,0
DOZEN,一打,在,(,保持,0,0,0
DRAMA,戲劇,刀子,毯子,湖泊,0,0,0
DRAW,畫畫,得到,飛盤,露營,0,0,0
DREAM,夢想,過去,模特兒,勇氣(不可數),0,0,0
DRESS,洋裝,包含,金屬,聚集,0,0,0
DRINK,飲料,溜冰,收音機,湯,0,0,0
DRIVE,駕駛,跳躍,柳橙,公主,0,0,0
DROP,掉落,公克,或許,流行性感冒,0,0,0
DRUM,鼓,蝸牛,寫,講,0,0,0
DRY,乾燥的,分享,蛋糕,籃子,0,0,0
DRYER,吹風機,背包,郵票,主要的,0,0,0
DUCK,鴨子,(用單數動詞),移動,六月,0,0,0
DUMB,啞的,螃蟹,灰色(的),下評論,0,0,0
DUTY,責任,一起,小說,政府,0,0,0
EACH,(用單數動詞),字典,責任,晚餐,0,0,0
EAGLE,老鷹,綿羊,情緒,他們的,0,0,0
EAR,耳朵,使興奮,大頭針,吉普車,0,0,0
EARLY,早的,運動,內衣,擁有,0,0,0
EARN,賺,翅膀,草,簡易的,0,0,0
EARTH,泥土,草,誠實的,五,0,0,0
EASE,減緩,衝,書房,手電筒,0,0,0
EAST,東方(的),在,訊息,(,0,0,0
EASY,簡易的,修改,毯子,(用單數動詞),0,0,0
EAT,吃,嘿(引起注意),天然氣,侵襲,0,0,0
EDGE,邊緣,十八,正方形,努力,0,0,0
EGG,蛋,有活力的,榔頭,一些,0,0,0
EIGHT,八,英哩,風格,責罵,0,0,0
ELDER,長輩,大廳,(不可數),原諒,0,0,0
ELECT,選舉出,往,中心,指示,0,0,0
ELSE,其他的,再次,影片,簽字筆,0,0,0
EMAIL,電子郵件,團體,租用,背包,0,0,0
END,結束,鵝,飲食,原諒,0,0,0
ENEMY,敵人,跳,麵包,(鴨舌)帽,0,0,0
ENJOY,享受,她的,懷疑,顧客,0,0,0
ENTER,進入,暖氣,堂表兄弟姐妹,比,0,0,0
ENVY,妒忌,操作,堂表兄弟姐妹,公分,0,0,0
EQUAL,平等的,綠色(的),街道,前者的,0,0,0
ERROR,錯誤,自助餐館,甜點,(用單數動詞),0,0,0
EVEN,甚至,九十,記錄,頭痛,0,0,0
EVENT,事件,木瓜,脖子,蓋子,0,0,0
EVER,曾經,答應,棉花,草,0,0,0
EVERY,(,在,原理,童年,0,0,0
EVIL,邪惡的,設計,人群,大學,0,0,0
EXAM,考試,噪音,三,七月,0,0,0
EXIST,存在,一包(袋),雪人,螢幕,0,0,0
EXIT,出口,其他的,公寓,朋友,0,0,0
EXTRA,多(餘)的,帥的,依靠,鋼琴,0,0,0
EYE,眼睛,體育館,週日,三,0,0,0
FACE,臉,甜甜圈,點,妒忌,0,0,0
FACT,事實,使驚恐,在,必須的,0,0,0
FAIL,考不及格,使成對,溫暖的,喜愛,0,0,0
FAIR,公平的,耳朵,手機,城市,0,0,0
FALL,掉,發狂,工作,梳子,0,0,0
FALSE,錯的,恐龍,想要,鯊魚,0,0,0
FAN,(歌,出去,形狀,閃電,0,0,0
FANCY,別緻的,費用,可愛,帶有,0,0,0
FAR,遠的,最後,別緻的,繪畫,0,0,0
FARM,農場,雞肉,航行,他自己,0,0,0
FAST,速度快的,好吃的,苦的,(,0,0,0
FAT,胖的,內衣,生意,圓胖的,0,0,0
FAULT,錯誤,藥物,在,灰色(的),0,0,0
FEAR,恐懼,短褲,使興奮,突然的,0,0,0
FEE,費用,磚塊,這裡,蠟筆,0,0,0
FEED,餵食,使集中,飽的,形成,0,0,0
FEEL,感覺,意外,曲線,頑皮,0,0,0
FENCE,圍牆,爵士,駕駛,台灣,0,0,0
FEVER,發燒,書桌,天花板,山丘,0,0,0
FEW,(,抽屜,幾乎不,鼓,0,0,0
FIFTY,五十,驕傲,(,行動,0,0,0
FIGHT,打鬥,時鐘,鋼琴,大頭針,0,0,0
FILL,充滿,照片,地下室,往後,0,0,0
FILM,影片,泳池,最後的,沙發,0,0,0
FINAL,期末考,河馬,下雪,製作,0,0,0
FIND,發現,大量,帶來,天空,0,0,0
FINE,好的,卡式磁帶,滑雪,必須的,0,0,0
FIRE,火,想家的,使集中,充滿,0,0,0
FIRST,第一,服務(不可數),椅子,口袋,0,0,0
FISH,魚肉,掉落,人們,領隊,0,0,0
FIT,使適合,袋鼠,敲擊,黃色(的),0,0,0
FIVE,五,週末,六月,司機,0,0,0
FIX,修理,刷,在週圍,睡覺,0,0,0
FLAG,旗子,兄弟,欺騙,否定的,0,0,0
FLOOR,地板,(,零食,吃,0,0,0
FLOUR,麵粉,拷貝,溫和的,名字,0,0,0
FLU,流行性感冒,生物,可怕的,種子,0,0,0
FLUTE,笛子,程度,修理,照相機,0,0,0
FLY,駕駛(飛機),大量,航空公司,花,0,0,0
FOCUS,使集中,女神,二月,圖案,0,0,0
FOG,霧,越過,中間的,唯一的,0,0,0
FOGGY,多霧的,任期,(寬圓)帽,蠟筆,0,0,0
FOOD,食物,律師,柳橙,戒指,0,0,0
FOOL,呆子,例子,曾經,天,1,0,0
FOOT,腳,(,前者的,教堂,0,0,0
FOR,為了,捷運,國內的,浴缸,0,0,0
FORK,叉子,突然的,你自己,公車,0,0,0
FORM,形成,問,修理,國王,0,0,0
FORTY,四十,老鷹,掉,那個,0,0,0
FOUR,四,吸管,英文,私下的,0,0,0
FOX,狐狸,(西裝)外套,藉口,這個,0,0,0
FRANK,坦白,早餐,拒絕,衣服,0,0,0
FREE,免費的,恐龍,鯊魚,歌曲,0,0,0
FRESH,新鮮的,音樂,下雪,啞的,0,0,0
FROG,青蛙,角色,池塘,甜甜圈,0,0,0
FROM,從,顧客,浪費,不同,0,0,0
FRONT,前面的,蠟燭,醋,再次,0,0,0
FRUIT,水果,沙發,消失,在,0,0,0
FRY,煎,曾經,空氣,笛子,0,0,0
FULL,飽的,想要,家庭主婦,切,0,0,0
FUN,樂趣,劇院,期待,表達,0,0,0
FUNNY,好笑,雪,畫底線,手表,0,0,0
GAIN,得到,(用字母)拼字,雞肉,書架,0,0,0
GAME,遊戲,氣候,吞,電燈,0,0,0
GAS,天然氣,黑板,柳橙,正方形,0,0,0
GATE,大門,芒果,事情,期待,0,0,0
GET,得到,生日,架子,尚未(否定),0,0,0
GHOST,鬼魂,線條,(,成長,0,0,0
GIANT,巨人,律師,臉,姐妹,0,0,0
GIFT,禮物,視力,三明治,窗簾,0,0,0
GIRL,女孩,他們自己,劇院,六十,0,0,0
GIVE,給,距離,烤吐司,沐浴,0,0,0
GLAD,高興的,破壞,謙虛的,某處,0,0,0
GLASS,玻璃杯,短的,筆直的,母雞,0,0,0
GLOVE,手套,兒子,年級,幾乎,0,0,0
GLUE,膠水,(,毛巾,糖果,0,0,0
GOAL,目標,訊息,請客,父/母,0,0,0
GOAT,山羊,冰,感到有興趣的,貨車,0,0,0
GOD,上帝,沐浴,壘球,展現,0,0,0
GOLD,金子,擦子,不誠實的,歡喜,0,0,0
GOLF,高爾夫球,四月,分(錢),風箏,0,0,0
GOOD,好的,速度快的,牛仔褲,種子,0,0,0
GOOSE,鵝,牙痛,平原,啞的,0,0,0
GRADE,年級,英磅,大門,極好的,0,0,0
GRAM,公克,雨衣,柳橙,成人,0,0,0
GRAPE,葡萄,山羊,榔頭,低的,0,0,0
GRASS,草,錯誤,拜訪,中國,0,0,0
GRAY,灰色(的),螞蟻,主動,美國,0,0,0
GREAT,很棒的,英磅,下巴,離開,0,0,0
GREEN,綠色(的),放置,烤箱,露營,0,0,0
GREET,打招呼,責罵,颱風,五十,0,0,0
GROUP,團體,片刻,派,大的,0,0,0
GROW,成長,爐灶,挖掘,髒的,0,0,0
GUARD,警衛,愛說話,在,週五,0,0,0
GUAVA,番石榴,私下的,銀子,擴音機,0,0,0
GUESS,猜測,贏,山,地理,0,0,0
GUEST,客人,離開,拒絕,產品,0,0,0
GUIDE,導遊,電燈,湯,沙發,0,0,0
GUN,槍,出現,小提琴,足夠的,0,0,0
GUY,傢伙,情緒,青蛙,贏,0,0,0
GYM,體育館,項鍊,字典,商店,0,0,0
HABIT,習慣,六月,可怕的,出售,0,0,0
HAIR,頭髮,爐灶,在,牆(壁),0,0,0
HALF,半(小時),走路,酷的,戒指,0,0,0
HALL,大廳,除,會議,勇氣(不可數),0,0,0
HAM,火腿,圓,空格,廁所,0,0,0
HAND,手,正午,腳趾,村莊,0,0,0
HANG,懸掛,方法,啞的,帶有,0,0,0
HAPPY,快樂的,大的,蜂蜜,流行性感冒,0,0,0
HARD,困難的,手電筒,陽光充足的,受歡迎的,0,0,0
HAT,(寬圓)帽,小時,注視,汽車,0,0,0
HATE,討厭,有幫助的,邀請,蜂蜜,0,0,0
HEAD,頭,書,或許,主要的,0,0,0
HEAR,聽到,高速公路,蝴蝶,抱歉的,0,0,0
HEART,心(臟),父親,種植,藝術家,0,0,0
HEAT,熱氣,南瓜,百,幽默,0,0,0
HEAVY,重的,相簿,日常的,女人,0,0,0
HELLO,哈囉,拇指,酸的,輸家,0,0,0
HELP,幫忙,老的,抽屜,抵達,0,0,0
HEN,母雞,非常,害羞的,蝸牛,0,0,0
HER,她的,指甲,藝術家,磚塊,0,0,0
HERE,這裡,新聞記者,修理,慢的,0,0,0
HERO,英雄,拷貝,披薩,果醬,0,0,0
HERS,(,追逐,嚴重的,派對,0,0,0
HEY,嘿(引起注意),十,行動,泥漿,0,0,0
HIDE,躲藏,感到驚訝的,鈕扣,期間,0,0,0
HIGH,高的,化學,外國人,漫畫,0,0,0
HIKE,健行,文化,比,枯燥無趣的,0,0,0
HILL,山丘,牛仔褲,瀑布,錯的,0,0,0
HIP,臀部,通常的,寵物,一片(張,0,0,0
HIPPO,河馬,有可能的,家,度量單位,0,0,0
HIRE,僱用,出售,往前,安全的,0,0,0
HIS,他的,課程,語言,棉花,0,0,0
HIT,打擊,吉普車,數學,陣雨,0,0,0
HOBBY,嗜好,柳橙,狀態,英吋,0,0,0
HOLD,握,轉(彎),然而,拒給,0,0,0
HOLE,洞,(,慢的,希望,0,0,0
HOME,家,一瓶,轉(彎),嚐(到),0,0,0
HONEY,蜂蜜,(大)自然,(,遲(晚)的,0,0,0
HOP,跳,豆腐,昨天,皮夾,0,0,0
HOPE,希望,碰面,肥皂,發現,0,0,0
HORSE,馬,鴨子,週六,時鐘,0,0,0
HOST,男主(持)人,貼上,三十,成為,0,0,0
HOT,辣,公尺,幸運的,指甲,0,0,0
HOTEL,飯店,超重的,介紹,郵件,0,0,0
HOUR,小時,蚊子,口渴的,紫色(的),1,0,0
HOUSE,房屋,工廠,手套,例子,0,0,0
HOW,如何,極好的,漁夫,天,0,0,0
HUG,擁抱,痛苦,電話,雲,0,0,0
HUMAN,人類,火,領隊,使適合,0,0,0
HUMID,潮濕的,規則,點,趕快,0,0,0
HUMOR,幽默,辦公室,領隊,踢,0,0,0
HUNT,打獵,上升,公升,(用單數動詞),0,0,0
HURRY,趕快,小圓麵包,平底鍋,告訴,0,0,0
HURT,使受傷,硬幣,結果,出口,0,0,0
ICE,冰,公斤,熱氣,錄影機(帶),0,0,0
IDEA,點子,英文,花,刷,0,0,0
ILL,生病的,七月,中的,習作簿,0,0,0
INCH,英吋,關於,打擊,連結,0,0,0
INK,墨水,和藹,沐浴,總統,0,0,0
INTO,進去,牛,想要,吼叫,0,0,0
IRON,熨斗,公平的,足球,責罵,0,0,0
ITS,它的,閃電,方向,盲的,0,0,0
JAM,果醬,尾巴,幾乎不,(小)蟲,0,0,0
JAZZ,爵士,自從,九月,七,0,0,0
JEANS,牛仔褲,黑板,地面,列(清單),0,0,0
JEEP,吉普車,一般的,躲藏,發明,0,0,0
JOB,工作,人口(不可數),嗜好,溪流,0,0,0
JOG,慢跑,貓,傳統,覆蓋,0,0,0
JOIN,參加,螢幕,聖誕節,牆(壁),0,0,0
JOKE,玩笑,原諒,入口,寶藏,0,0,0
JOY,歡喜,鄰居,似乎,宇宙,0,0,0
JUDGE,法官,教練,使興奮,大聲地,0,0,0
JUICE,果汁,(,劇院,初學者,0,0,0
JULY,七月,開槍,天然氣,歡迎,-1,0,0
JUMP,跳躍,八月,遠的,曾經,0,0,0
JUNE,六月,週五,冷藏箱,鐵路,0,0,0
KEEP,保持,有可能的,導管,然後,0,0,0
KEY,鑰匙,黑暗的,新聞記者,超級的,0,0,0
KICK,踢,巨人,八月,事實,0,0,0
KID,孩童,感到興奮的,爆米花,單一的,0,0,0
KILL,殺(死),行星,拜訪,冷藏箱,0,0,0
KIND,和藹,生產,很棒的,尋常的,0,0,0
KING,國王,照相機,命令,超重的,0,0,0
KISS,親吻,誠實,正的,選擇,0,0,0
KITE,風箏,使關心,傳統,天真的,0,0,0
KNEE,膝蓋,溜滑梯,小氣的,藍色(的),0,0,0
KNIFE,刀子,廁所,沙漠,身體,0,0,0
KNOCK,敲擊,計畫,爭執(論),槍,0,0,0
KNOW,知道,任期,頭暈的,節省,0,0,0
KOALA,無尾熊,紙,越過,展現,0,0,0
LACK,缺乏,二,鯨魚,萵苣,0,0,0
LADY,淑女,打擊,變遷,鬍子,0,0,0
LAKE,湖泊,前者的,使落入圈套,一樣的,0,0,0
LAMB,羔羊,降落,錄音帶,姪子,0,0,0
LAMP,檯燈,才華,呆子,刷,0,0,0
LAND,降落,距離,害怕的,收入,0,0,0
LARGE,大的,筆記本,(海,痛苦的,0,0,0
LAST,最後,方法,泥漿,番茄醬,0,0,0
LATE,遲(晚)的,寫,處罰,模特兒,0,0,0
LATER,比較晚的,市場,隧道,訪問,0,0,0
LAUGH,大笑,農夫,雷,太陽,0,0,0
LAW,法律,聽(到),家庭主婦,西方(的),0,0,0
LAY,平躺,閃電,十九,籃子,0,0,0
LAZY,懶惰的,一套,空間,操場,0,0,0
LEAD,引導,錄音帶,也不(倒裝),怪物,0,0,0
LEAF,(,地下道,想要,村莊,0,0,0
LEARN,學到,雨傘,小提琴,蛋糕,0,0,0
LEAST,最少,駕駛(飛機),指揮,錯的,0,0,0
LEAVE,離開,蛇,妻子,課程,0,0,0
LEFT,左邊(的),糖,公開的,發生,0,0,0
LEG,腿,使成對,驕傲,長沙發,0,0,0
LEMON,檸檬,市場,充滿,南方(的),0,0,0
LEND,借(出),萬聖節,外國的,番茄醬,0,0,0
LESS,比較少,最新的,套裝,充滿,0,0,0
LET,讓(允許),顧客,期間,創造,0,0,0
LEVEL,程度,唯一的,廁所,衝,0,0,0
LICK,舔,計程車,受歡迎的,男演員,0,0,0
LID,蓋子,自由,相像的,點子,0,0,0
LIE,說謊,雙倍的,十九,超重的,0,0,0
LIFE,生命,英哩,提(高),氣球,0,0,0
LIFT,提(高),橄欖球,一瓶,筆直的,0,0,0
LIGHT,電燈,慾望,追蹤,汽車,0,0,0
LIKE,像,降落,老鼠,有可能的,0,0,0
LIMIT,限制,女人,舉起,錯的,0,0,0
LINE,線條,拉,表格,座位,0,0,0
LINK,連結,團體,節慶,早餐,0,0,0
LION,獅子,錄音帶,會議,(,0,0,0
LIP,嘴唇,通常的,年齡,圓胖的,0,0,0
LIST,列(清單),大門,十二月,買,0,0,0
LITER,公升,操作,在國外,兄弟,0,0,0
LIVE,居住,比較少,臥室,架子,0,0,0
LOAF,一條(吐司),計畫,繪畫,玩具,0,0,0
LOCAL,當地的,(距離)遠的,接受,國家,0,0,0
LOCK,鎖,辦公室,遞送,糖,0,0,0
LONG,長的,歡迎,九十,使困惑,0,0,0
LOOK,注視,度量單位,選擇,有可能的,0,0,0
LOSE,輸,打氣,鑰匙,情侶,0,0,0
LOSER,輸家,熊,拒絕,野生的,0,0,0
LOUD,大聲的,睡著的,番茄,錯誤,0,0,0
LOVE,喜愛,驢子,水龍頭,抽屜,0,0,0
LOW,低的,擁抱,高爾夫球,活動,0,0,0
LUCKY,幸運的,自助餐館,披薩,西瓜,0,0,0
LUNCH,午餐,嘴巴,遲(晚)的,餅乾,0,0,0
MAD,發狂,在,火腿,喇叭,0,0,0
MAGIC,神奇的,梳妝檯,吞,電腦,0,0,0
MAIL,郵件,酸的,貼上,麵粉,0,0,0
MAIN,主要的,二,很棒的,往後,0,0,0
MAJOR,主要的,相似的,北方(的),他的,0,0,0
