word,meaning,option1,option2,option3,Ginger,River,Sigma
BAKE,烘烤,麵包,星期二,冷的,0,0,0
BAKERY,麵包店,中午,冷的,今天,0,0,0
BALCONY,陽台,爺爺,大的,老虎,0,0,0
BALL,球,睡,商店,快樂的,0,0,0
BANANA,香蕉,米飯,兔子,白色,0,0,0
BAND,樂團,蘋果,六,黃色,0,0,0
BANK,銀行,市場,昨天,姐妹,0,0,0
BARBECUE,烤肉,壞的,聽,八,0,0,0
BASEBALL,棒球,牛奶,早上,三,0,0,0
BASKET,籃子,星期一,五,八,0,0,0
BASKETBALL,籃球,工作,玩,阿姨,0,0,0
BAT,蝙蝠,五,一,菜,0,0,0
BATH,洗澡,魚,銀行,明天,0,0,0
BATHROOM,浴室,小的,熊,米飯,0,0,0
BE,是,跑,新的,好的,0,0,0
BEACH,海灘,魚,父親,爺爺,0,0,0
BEAN,豆,馬,母親,黃色,0,0,0
BEAR,熊,父親,魚,老虎,0,0,0
BEAUTIFUL,美麗的,黃色,壞的,姐妹,0,0,0
BECAUSE,因為,十,一,阿姨,0,0,0
BECOME,變成,熱的,六,粉紅色,0,0,0
BED,床,綠色,晚上,聽,0,0,0
BEDROOM,臥室,老虎,水果,小的,0,0,0
BEE,蜜蜂,兄弟,蘋果,肉,0,0,0
BEEF,牛肉,香蕉,兒子,冷的,0,0,0
BEFORE,在…之前,貓,姐妹,香蕉,0,0,0
BEGIN,開始,黃色,姐妹,爺爺,0,0,0
BEHIND,在…後面,傷心的,綠色,喝,0,0,0
BELIEVE,相信,十,牛奶,米飯,0,0,0
BELL,鈴,公園,兔子,好的,0,0,0
BELONG,屬於,蛋糕,一月,爺爺,0,0,0
BELOW,在…下方,爺爺,菜,九,0,0,0
BELT,皮帶,綠色,學校,菜,0,0,0
BENCH,長椅,奶奶,八,叔叔,0,0,0
BESIDE,在…旁邊,猴子,獅子,五,0,0,0
BETWEEN,在…之間,學習,黃色,跑,0,0,0
BIKE,腳踏車,看,二,橘色,0,0,0
BIG,大的,蛋糕,冷的,狗,0,0,0
BIRD,鳥,菜,綠色,睡,0,0,0
BIRTHDAY,生日,二,快樂的,兄弟,0,0,0
BITE,咬,麵包,商店,銀行,0,0,0
BLACK,黑色(的),黑色,五,白色,0,0,0
BLACKBOARD,黑板,好的,灰色,看,0,0,0
BLANKET,毯子,魚,商店,玩,0,0,0
BLIND,瞎的,車站,工作,喝,0,0,0
BLOCK,街區,工作,玩,四,0,0,0
BLOW,吹,看,下午,工作,0,0,0
BLUE,藍色(的),蘋果,狗,魚,0,0,0
BOAT,船,今天,米飯,中午,0,0,0
BODY,身體,舊的,紫色,星期一,0,0,0
BOIL,煮沸,學校,熱的,獅子,0,0,0
BOOK,書,昨天,跑,明天,0,0,0
BOOKSTORE,書店,今天,四,貓,0,0,0
BORED,感到厭煩的,星期一,姐妹,鳥,0,0,0
BORING,無聊的,五,黑色,二,0,0,0
BORN,出生,中午,快樂的,走,0,0,0
BORROW,借入,六,香蕉,紫色,0,0,0
BOSS,老板,中午,跑,馬,0,0,0
BOTH,兩者都,中午,昨天,藍色,0,0,0
BOTTLE,瓶子,家,看,猴子,0,0,0
BOTTOM,底部,吃,綠色,姐妹,0,0,0
BOW,敬禮,聽,四,綠色,0,0,0
BOWL,碗,猴子,傷心的,六,0,0,0
BOX,盒子,下午,水果,黑色,0,0,0
BOY,男孩,四,米飯,車站,0,0,0
BREAD,麵包,黑色,晚上,米飯,0,0,0
BREAK,打破,車站,藍色,走,0,0,0
BREAKFAST,早餐,狗,圖書館,中午,0,0,0
BRIDGE,橋,市場,工作,父親,0,0,0
BRIGHT,明亮的,銀行,爺爺,藍色,0,0,0
BRING,帶來,兔子,兄弟,市場,0,0,0
BROTHER,兄弟,橘色,明天,熱的,0,0,0
BROWN,棕色(的),明天,看,獅子,0,0,0
BRUSH,刷,魚,狗,熱的,0,0,0
BUG,小蟲,壞的,橘色,聽,0,0,0
BUILD,建造,紅色,綠色,紫色,0,0,0
BUN,小圓麵包,灰色,猴子,綠色,0,0,0
BURN,燃燒,兄弟,貓,香蕉,0,0,0
BUS,公車,猴子,晚上,叔叔,0,0,0
BUSINESS,生意,家,快樂的,今天,0,0,0
BUSINESSMAN,商人,牛奶,父親,姐妹,0,0,0
BUSY,忙碌的,喝,麵包,好的,0,0,0
BUT,但是,魚,肉,工作,0,0,0
BUTTER,奶油,鳥,餐廳,昨天,0,0,0
BUTTERFLY,蝴蝶,玩,香蕉,睡,0,0,0
BUY,買,圖書館,兒子,聽,0,0,0
BY,藉著,公園,九,爺爺,0,0,0
CAGE,籠子,走,六,黑色,0,0,0
CAKE,蛋糕,喝,早上,熱的,0,0,0
CALL,打電話,橘色,菜,九,0,0,0
CAMERA,照相機,六,爺爺,昨天,0,0,0
CAMP,露營,叔叔,肉,學校,0,0,0
CAN,能夠,黑色,三,八,0,0,0
CANDLE,蠟燭,今天,黃色,聽,0,0,0
CANDY,糖果,五,灰色,大的,0,0,0
CAP,帽,快樂的,鳥,下午,0,0,0
CAR,車子,四,工作,菜,0,0,0
CARD,卡片,兄弟,鳥,快樂的,0,0,0
CARE,關心,綠色,紫色,牛奶,0,0,0
CAREFUL,仔細的,母親,今天,傷心的,0,0,0
CARRY,攜帶,一月,七,走,0,0,0
CASE,情形,麵包,貓,醫院,0,0,0
CASTLE,城堡,昨天,走,兒子,0,0,0
CAT,貓,銀行,冷的,新的,0,0,0
CATCH,趕上,牛奶,叔叔,冷的,0,0,0
CELEBRATE,慶祝,星期一,母親,二,0,0,0
CELL PHONE,手機,女兒,星期一,香蕉,0,0,0
CENT,分錢,昨天,壞的,蛋糕,0,0,0
CENTER,中心,奶奶,星期二,三,0,0,0
CENTIMETER,公分,七,熱的,米飯,0,0,0
CHAIR,椅子,下午,聽,兄弟,0,0,0
CHALK,粉筆,中午,玩,猴子,0,0,0
CHANCE,機會,紫色,星期二,猴子,0,0,0
CHANGE,交換/零錢,藍色,獅子,鳥,0,0,0
CHEAP,便宜的,學習,魚,睡,0,0,0
CHEAT,欺騙,冷的,商店,六,0,0,0
CHECK,檢查,姐妹,吃,爺爺,0,0,0
CHEER,歡呼,蘋果,藍色,走,0,0,0
CHEESE,乳酪,奶奶,工作,兄弟,0,0,0
CHESS,西洋棋,魚,熊,跑,0,0,0
CHICKEN,雞肉,睡,老虎,鳥,0,0,0
CHILD,小孩,灰色,二,五,0,0,0
CHINA,中國,兄弟,紫色,父親,0,0,0
CHINESE,中國人/中文,蘋果,十,二,0,0,0
CHOCOLATE,巧克力,睡,六,學習,0,0,0
CHOOSE,選擇,喝,魚,母親,0,0,0
CHOPSTICKS,筷子,星期二,猴子,圖書館,0,0,0
CHRISTMAS,聖誕節,吃,菜,粉紅色,0,0,0
CHURCH,教堂,商店,玩,蘋果,0,0,0
CIRCLE,圓圈,姐妹,壞的,二,0,0,0
CITY,城市,叔叔,新的,八,0,0,0
CLAP,拍手,公園,五,香蕉,0,0,0
CLASS,班級,奶奶,聽,壞的,0,0,0
CLASSMATE,同班同學,灰色,兔子,銀行,0,0,0
CLASSROOM,教室,銀行,蘋果,貓,0,0,0
CLEAN,打掃,跑,熱的,兔子,0,0,0
CLEAR,清楚的,肉,吃,工作,0,0,0
CLERK,店員,藍色,四,中午,0,0,0
CLIMB,爬,兔子,睡,跑,0,0,0
CLOCK,時鐘,下午,公園,餐廳,0,0,0
CLOSE,關上,兔子,走,明天,0,0,0
CLOTHES,衣服,下午,猴子,奶奶,0,0,0
CLOUDY,多雲的,蘋果,阿姨,鳥,0,0,0
CLUB,社團,紅色,小的,香蕉,0,0,0
COAT,大衣,蛋糕,藍色,熱的,0,0,0
COFFEE,咖啡,喝,餐廳,圖書館,0,0,0
COKE,可樂,蛋糕,父親,圖書館,0,0,0
COLD,寒冷的,一,奶奶,車站,0,0,0
COLLECT,收集,爺爺,一,看,0,0,0
COLOR,顏色,工作,圖書館,兔子,0,0,0
COME,來,傷心的,九,阿姨,0,0,0
COMB,梳子,九,睡,奶奶,0,0,0
COMFORTABLE,舒適的,兔子,好的,魚,0,0,0
COMIC,連環漫畫,蛋糕,五,兒子,0,0,0
COMMON,共同的,綠色,商店,姐妹,0,0,0
COMPUTER,電腦,貓,姐妹,跑,0,0,0
CONVENIENT,方便的,奶奶,聽,車站,0,0,0
COOK,煮飯,家,熊,鳥,0,0,0
COOKIE,餅乾,魚,兔子,女兒,0,0,0
COOL,涼爽的,牛奶,爺爺,星期一,0,0,0
COPY,抄寫/複製,父親,玩,早上,0,0,0
CORNER,角落,灰色,舊的,好的,0,0,0
CORRECT,正確的,三,小的,學習,0,0,0
COST,價值,星期二,綠色,蛋糕,0,0,0
COUCH,沙發,冷的,紫色,獅子,0,0,0
COUNT,計算,聽,黃色,紅色,0,0,0
COUNTRY,鄉村,米飯,跑,六,0,0,0
COURSE,課程,傷心的,九,粉紅色,0,0,0
COUSIN,堂/表兄弟姊妹,車站,阿姨,藍色,0,0,0
COVER,覆蓋/封面,晚上,熱的,貓,0,0,0
COW,母牛,睡,車站,學校,0,0,0
COWBOY,牛仔,魚,鳥,八,0,0,0
CRAZY,瘋狂的,七,下午,二,0,0,0
CROSS,越過,昨天,獅子,小的,0,0,0
CRY,哭,昨天,四,爺爺,0,0,0
CUP,茶杯,一月,五,冷的,0,0,0
CUT,切,老虎,橘色,母親,0,0,0
CUTE,可愛的,二,快樂的,好的,0,0,0
DANCE,跳舞,老虎,公園,跑,0,0,0
DANGEROUS,危險的,奶奶,兔子,快樂的,0,0,0
DARK,黑暗的,獅子,水果,兄弟,0,0,0
DATE,日期,喝,蛋糕,下午,0,0,0
DAUGHTER,女兒,聽,冷的,中午,0,0,0
DAY,日子,車站,魚,睡,0,0,0
DEAD,死的,學習,一,早上,0,0,0
DEAR,親愛的,好的,紅色,叔叔,0,0,0
DECEMBER,十二月,新的,藍色,學校,0,0,0
DECIDE,決定,快樂的,叔叔,阿姨,0,0,0
DELICIOUS,美味的,貓,二,猴子,0,0,0
DENTIST,牙醫,九,看,二,0,0,0
DEPARTMENT STORE,百貨公司,一月,叔叔,商店,0,0,0
DESK,書桌,黑色,學校,玩,0,0,0
DICTIONARY,字典,吃,猴子,兒子,0,0,0
DIE,死掉,今天,九,魚,0,0,0
DIFFERENT,不同的,兒子,五,叔叔,0,0,0
DIFFICULT,困難的,女兒,紅色,壞的,0,0,0
DIG,挖掘,餐廳,魚,熊,0,0,0
DINING ROOM,飯廳,香蕉,麵包,看,0,0,0
DINNER,晚餐,紫色,中午,公園,0,0,0
DIRTY,骯髒的,吃,大的,父親,0,0,0
DISH,盤子/菜餚,小的,商店,十,0,0,0
DO,做,學校,看,晚上,0,0,0
DOCTOR,醫生,蛋糕,工作,馬,0,0,0
DODGE BALL,躲避球,四,今天,熱的,0,0,0
DOG,狗,阿姨,走,粉紅色,0,0,0
DOLL,洋娃娃,五,學習,紅色,0,0,0
DOLLAR,元,舊的,走,叔叔,0,0,0
DOOR,門,粉紅色,肉,快樂的,0,0,0
DOT,點,猴子,姐妹,醫院,0,0,0
DOWN,向下,橘色,銀行,明天,0,0,0
DOZEN,打,狗,阿姨,魚,0,0,0
DRAGON,龍,工作,公園,明天,0,0,0
DRAW,畫,綠色,今天,老虎,0,0,0
DRAWER,抽屜,四,六,昨天,0,0,0
DREAM,夢,魚,睡,學校,0,0,0
DRESS,洋裝,老虎,新的,星期一,0,0,0
DRINK,喝,米飯,睡,魚,0,0,0
DRIVE,駕駛,香蕉,菜,姐妹,0,0,0
DRIVER,駕駛人,兄弟,魚,明天,0,0,0
DROP,掉落,兒子,新的,紅色,0,0,0
DRUM,鼓,聽,中午,圖書館,0,0,0
DRY,乾的,晚上,老虎,車站,0,0,0
DUCK,鴨,馬,昨天,菜,0,0,0
DUMPLING,餃子,女兒,米飯,紫色,0,0,0
DURING,在…期間,車站,黑色,魚,0,0,0
EACH,每一(的),魚,牛奶,綠色,0,0,0
EAR,耳朵,睡,米飯,聽,0,0,0
EARLY,早的,中午,新的,看,0,0,0
EARTH,地球,米飯,九,舊的,0,0,0
EAST,東方,熱的,熊,工作,0,0,0
EASTER,復活節,橘色,睡,明天,0,0,0
EASY,容易的,家,傷心的,橘色,0,0,0
EAT,吃,一,母親,快樂的,0,0,0
EGG,蛋,一,兔子,馬,0,0,0
EIGHT,八,二,九,家,0,0,0
EIGHTEEN,十八,藍色,商店,車站,0,0,0
EIGHTH,第八,香蕉,醫院,小的,0,0,0
EIGHTY,八十,母親,獅子,菜,0,0,0
EITHER,也不,姐妹,五,跑,0,0,0
ELEMENTARY SCHOOL,小學,吃,姐妹,紅色,0,0,0
ELEPHANT,大象,看,父親,紫色,0,0,0
ELEVEN,十一,女兒,跑,馬,0,0,0
ELEVENTH,第十一(的),工作,黑色,睡,0,0,0
ELSE,其他的,好的,魚,商店,0,0,0
EMAIL,電子郵件,學校,下午,六,0,0,0
END,結束,吃,蛋糕,二,0,0,0
ENGINEER,工程師,下午,冷的,昨天,0,0,0
ENGLISH,英語,小的,看,灰色,0,0,0
ENJOY,喜愛,馬,猴子,紅色,0,0,0
ENOUGH,足夠的,十,九,馬,0,0,0
ENTER,進入,下午,六,睡,0,0,0
ENVELOPE,信封,狗,走,吃,0,0,0
ERASER,橡皮擦,壞的,睡,四,0,0,0
EVE,前夕,公園,星期一,新的,0,0,0
EVEN,甚至,五,香蕉,公園,0,0,0
EVENING,傍晚,新的,兒子,快樂的,0,0,0
EVER,曾經,綠色,肉,喝,0,0,0
EVERY,每一個(的),馬,冷的,水果,0,0,0
EVERYONE,每一個人,馬,餐廳,玩,0,0,0
EVERYTHING,每件事,黃色,兄弟,奶奶,0,0,0
EXAMPLE,例子,吃,黑色,四,0,0,0
EXCELLENT,極好的,跑,星期一,銀行,0,0,0
EXCEPT,除了…之外,早上,看,八,0,0,0
EXCITED,感到興奮的,銀行,馬,四,0,0,0
EXCITING,令人興奮的,中午,七,蘋果,0,0,0
EXCUSE,原諒,學習,九,早上,0,0,0
EXERCISE,運動,魚,熊,大的,0,0,0
EXPENSIVE,昂貴的,黃色,馬,舊的,0,0,0
EXPERIENCE,經驗,兄弟,新的,馬,0,0,0
EYE,眼睛,下午,菜,早上,0,0,0
FACE,臉孔,車站,老虎,六,0,0,0
FACT,事實,醫院,魚,黃色,0,0,0
FACTORY,工廠,紫色,昨天,玩,0,0,0
FAIL,失敗,今天,蛋糕,貓,0,0,0
FALL,秋天,父親,學習,橘色,0,0,0
FAMILY,家庭,水果,傷心的,獅子,0,0,0
FAMOUS,有名的,老虎,九,聽,0,0,0
FAN,扇子/擁護者,九,蘋果,馬,0,0,0
FAR,遠的,鳥,麵包,學校,0,0,0
FARM,農田,母親,灰色,壞的,0,0,0
FARMER,農夫,喝,母親,商店,0,0,0
FAST,快的,熱的,快樂的,市場,0,0,0
FAT,胖的,老虎,水果,吃,0,0,0
FATHER,父親,爺爺,橘色,蛋糕,0,0,0
FAVORITE,最喜愛的,中午,圖書館,兄弟,0,0,0
FEBRUARY,二月,醫院,看,魚,0,0,0
FEED,餵,傷心的,星期一,好的,0,0,0
FEEL,覺得,冷的,走,工作,0,0,0
FESTIVAL,節慶,黃色,香蕉,父親,0,0,0
FEVER,發燒,星期一,鳥,蛋糕,0,0,0
FEW,少數的,貓,奶奶,冷的,0,0,0
FIFTEEN,十五,看,白色,姐妹,0,0,0
FIFTEENTH,第十五(的),爺爺,好的,一月,0,0,0
FIFTH,第五(的),九,星期二,牛奶,0,0,0
FIFTY,五十,聽,父親,工作,0,0,0
FIGHT,打架,魚,走,下午,0,0,0
FILL,裝滿,銀行,七,小的,0,0,0
FINALLY,最後,明天,早上,爺爺,0,0,0
FIND,找到,聽,學習,家,0,0,0
FINE,很好的,六,兒子,一,0,0,0
FINGER,手指,晚上,今天,魚,0,0,0
FINISH,完成,貓,阿姨,傷心的,0,0,0
FIRE,火焰,魚,紫色,叔叔,0,0,0
FIRST,第一(的),黑色,一,九,0,0,0
FISH,魚,吃,四,好的,0,0,0
FISHERMAN,漁夫,昨天,傷心的,車站,0,0,0
FIVE,五,圖書館,紅色,跑,0,0,0
FIX,修理,奶奶,家,新的,0,0,0
FLOOR,地板,一,喝,白色,0,0,0
FLOWER,花朵,菜,市場,餐廳,0,0,0
FLUTE,笛,壞的,紫色,學校,0,0,0
FLY,飛,蛋糕,公園,五,0,0,0
FOLLOW,遵循/跟隨,藍色,下午,爺爺,0,0,0
FOOD,食物,母親,阿姨,商店,0,0,0
FOOT,腳,貓,餐廳,水果,0,0,0
FOR,為了,商店,四,大的,0,0,0
FOREIGN,外國的,猴子,灰色,狗,0,0,0
FOREIGNER,外國人,兔子,餐廳,牛奶,0,0,0
FORGET,忘記,女兒,睡,工作,0,0,0
FORK,叉子,熱的,早上,晚上,0,0,0
FORTY,四十,醫院,四,紫色,0,0,0
FOUR,四,餐廳,藍色,舊的,0,0,0
FOURTEEN,十四,快樂的,兄弟,十,0,0,0
FOURTEENTH,第十四(的),麵包,八,紅色,0,0,0
FOURTH,第四(的),肉,魚,菜,0,0,0
FOX,狐狸,晚上,家,星期一,0,0,0
FREE,空閒的/免費,晚上,九,中午,0,0,0
FRENCH FRIES,炸薯條,菜,水果,姐妹,0,0,0
FRESH,新鮮的,吃,明天,家,0,0,0
FRIDAY,星期五,熊,粉紅色,晚上,0,0,0
FRIEND,朋友,魚,走,舊的,0,0,0
FRIENDLY,友善的,兄弟,米飯,魚,0,0,0
FRISBEE,飛盤,快樂的,兒子,姐妹,0,0,0
FROG,青蛙,菜,猴子,醫院,0,0,0
FROM,從,喝,白色,兔子,0,0,0
FRONT,前面,四,魚,傷心的,0,0,0
FRUIT,水果,冷的,學校,中午,0,0,0
FRY,油炸,蘋果,昨天,三,0,0,0
FULL,滿的,小的,看,肉,0,0,0
FUN,樂趣,餐廳,香蕉,一,0,0,0
FUNNY,好笑的,藍色,叔叔,小的,0,0,0
FUTURE,未來,工作,爺爺,餐廳,0,0,0
GAME,比賽/遊戲,喝,橘色,九,0,0,0
GARBAGE,垃圾,公園,銀行,九,0,0,0
GARDEN,花園,魚,鳥,獅子,0,0,0
GAS,瓦斯,明天,吃,灰色,0,0,0
GATE,大門,市場,熊,三,0,0,0
GET,得到,橘色,五,爺爺,0,0,0
GHOST,鬼,早上,貓,兒子,0,0,0
GIANT,巨大的/巨人,猴子,四,菜,0,0,0
GIFT,禮物,爺爺,獅子,蛋糕,0,0,0
GIRL,女孩,一月,叔叔,麵包,0,0,0
GIVE,給予,紫色,魚,牛奶,0,0,0
GLAD,高興的,橘色,兄弟,市場,0,0,0
GLASS,玻璃/玻璃杯,餐廳,舊的,早上,0,0,0
GLASSES,眼鏡,商店,走,奶奶,0,0,0
GLOVE,手套,父親,綠色,麵包,0,0,0
GLUE,膠水,兔子,貓,吃,0,0,0
GO,去,公園,馬,銀行,0,0,0
GOAT,山羊,粉紅色,叔叔,市場,0,0,0
GOOD,好的,灰色,鳥,公園,0,0,0
GOODBYE,再見,香蕉,女兒,傷心的,0,0,0
GOOSE,鵝,吃,走,八,0,0,0
GRADE,成績/年級,五,魚,銀行,0,0,0
GRAM,公克,肉,熊,老虎,0,0,0
GRANDFATHER,祖父,公園,星期一,白色,0,0,0
GRANDMOTHER,祖母,星期二,兒子,市場,0,0,0
GRAPE,葡萄,工作,女兒,綠色,0,0,0
GRASS,草,商店,醫院,狗,0,0,0
GRAY,灰色的,昨天,三,兒子,0,0,0
GREAT,很棒的,餐廳,一月,喝,0,0,0
GREEN,綠色(的),八,獅子,跑,0,0,0
GROUND,地面,九,熊,母親,0,0,0
GROUP,團體,公園,圖書館,熊,0,0,0
GROW,種植,熊,聽,老虎,0,0,0
GUAVA,番石榴,老虎,綠色,喝,0,0,0
GUESS,猜想,圖書館,兄弟,舊的,0,0,0
GUITAR,吉他,看,下午,新的,0,0,0
GUY,傢伙,父親,車站,水果,0,0,0
GYM,體育館,五,二,綠色,0,0,0
HABIT,習慣,水果,父親,中午,0,0,0
HAIR,頭髮,九,喝,星期二,0,0,0
HALF,一半,黃色,女兒,醫院,0,0,0
HALLOWEEN,萬聖節,兒子,小的,橘色,0,0,0
HAM,火腿,老虎,熊,姐妹,0,0,0
HAMBURGER,漢堡,圖書館,昨天,吃,0,0,0
HAND,手,快樂的,兔子,魚,0,0,0
HANDSOME,英俊的,橘色,傷心的,中午,0,0,0
HANG,懸掛,魚,醫院,明天,0,0,0
HAPPEN,發生,獅子,黃色,菜,0,0,0
HAPPY,快樂的,玩,學習,獅子,0,0,0
HARD,困難的/硬的,吃,公園,七,0,0,0
HARDWORKING,努力工作的,昨天,九,喝,0,0,0
HAT,帽子,跑,貓,一月,0,0,0
HATE,討厭,魚,八,猴子,0,0,0
HAVE,有,灰色,兒子,魚,0,0,0
HE,他,姐妹,看,四,0,0,0
HEAD,頭,下午,一,晚上,0,0,0
HEADACHE,頭痛,聽,舊的,兄弟,0,0,0
HEALTH,健康,肉,新的,香蕉,0,0,0
HEALTHY,健康的,爺爺,貓,香蕉,0,0,0
HEAR,聽,猴子,老虎,下午,0,0,0
HEART,心,餐廳,晚上,兒子,0,0,0
HEAT,熱度/加熱,家,一月,狗,0,0,0
HEAVY,重的,蛋糕,姐妹,餐廳,0,0,0
HELLO,喂,貓,獅子,九,0,0,0
HELP,幫忙,小的,四,走,0,0,0
HELPFUL,有幫助的,六,早上,熱的,0,0,0
HEN,母雞,阿姨,昨天,今天,0,0,0
HERE,這裡,四,星期二,蘋果,0,0,0
HEY,嘿,紫色,奶奶,喝,0,0,0
HI,嗨,商店,三,獅子,0,0,0
HIDE,隱藏,六,紅色,明天,0,0,0
HIGH,高的,貓,猴子,米飯,0,0,0
HIKE,徒步旅行,十,明天,下午,0,0,0
HILL,小山,紫色,麵包,猴子,0,0,0
HIPPO,河馬,中午,阿姨,爺爺,0,0,0
HISTORY,歷史,星期一,貓,今天,0,0,0
HIT,打擊,餐廳,麵包,四,0,0,0
HOBBY,嗜好,餐廳,吃,好的,0,0,0
HOLD,拿著,圖書館,兄弟,二,0,0,0
HOLIDAY,假日,走,商店,肉,0,0,0
HOME,家,阿姨,女兒,壞的,0,0,0
HOMEWORK,家庭作業,壞的,星期二,小的,0,0,0
HONEST,誠實的,跑,聽,兄弟,0,0,0
HONEY,蜂蜜,中午,十,學習,0,0,0
HOP,單腳跳,睡,市場,魚,0,0,0
HOPE,希望,明天,阿姨,米飯,0,0,0
HORSE,馬,工作,一,女兒,0,0,0
HOSPITAL,醫院,今天,晚上,魚,0,0,0
HOT,熱的,粉紅色,牛奶,睡,0,0,0
HOT DOG,熱狗,大的,麵包,熊,0,0,0
HOTEL,旅社,女兒,一月,三,0,0,0
HOUR,小時,奶奶,姐妹,餐廳,0,0,0
HOUSE,房屋,蘋果,菜,下午,0,0,0
HOUSEWIFE,家庭主婦,爺爺,鳥,快樂的,0,0,0
HOW,如何,中午,傷心的,明天,0,0,0
HOWEVER,然而,七,大的,紅色,0,0,0
HUNDRED,百,獅子,鳥,叔叔,0,0,0
HUNGRY,飢餓的,市場,銀行,兄弟,0,0,0
HUNT,打獵,紫色,黃色,蘋果,0,0,0
HURRY,趕忙,獅子,紫色,跑,0,0,0
HURT,受傷/疼痛,魚,菜,壞的,0,0,0
HUSBAND,丈夫,獅子,狗,星期一,0,0,0
I,我,學習,醫院,馬,0,0,0
ICE,冰,猴子,五,叔叔,0,0,0
ICE CREAM,冰淇淋,銀行,一月,猴子,0,0,0
IDEA,主意,肉,小的,早上,0,0,0
IF,如果,玩,三,女兒,0,0,0
IMPORTANT,重要的,圖書館,蘋果,馬,0,0,0
IN,在…裡面,商店,兔子,馬,0,0,0
INSECT,昆蟲,藍色,麵包,老虎,0,0,0
INSIDE,在…內部,昨天,學校,下午,0,0,0
INTEREST,使…感興趣,下午,父親,四,0,0,0
INTERESTED,感興趣的,狗,冷的,喝,0,0,0
INTERESTING,有趣的,工作,昨天,阿姨,0,0,0
INTERNET,網路,五,紅色,二,0,0,0
INTERVIEW,訪問/面試,蛋糕,新的,蘋果,0,0,0
INTO,到…之內,跑,車站,睡,0,0,0
INVITE,邀請,白色,早上,圖書館,0,0,0
ISLAND,島嶼,紫色,喝,七,0,0,0
IT,它,小的,兒子,六,0,0,0
JACKET,夾克,九,兒子,喝,0,0,0
JANUARY,一月,餐廳,舊的,好的,0,0,0
JEANS,牛仔褲,鳥,兄弟,綠色,0,0,0
JOB,工作,菜,二,鳥,0,0,0
JOG,慢跑,學習,昨天,姐妹,0,0,0
JOIN,加入,銀行,三,父親,0,0,0
JOY,歡樂,兔子,父親,睡,0,0,0
JUICE,果汁,跑,肉,十,0,0,0
JULY,七月,晚上,小的,醫院,0,0,0
